domain,source_type,indicator,supplier_name,category,jurisdiction_hint,verification_needed
huizen.nl,MX,10 huizen-nl.mail.protection.outlook.com,Microsoft 365 / Exchange Online,mail/cloud,VS leverancier met mogelijke EU-regio,ja
huizen.nl,SPF include,_spf.formulierenserver.nl,Formulierenserver,formulieren,Nederlandse leverancier met persoonsgegevensrisico,ja
huizen.nl,SPF include,_spf.sc.nines.nl,Nines,hosting,Nederlandse hostingindicatie,ja
huizen.nl,SPF include,_spf.zivver.com,Zivver,secure mail,Nederlandse leverancier,ja
huizen.nl,SPF include,spf.flowmailer.net,Flowmailer,transactionele mail,Nederlandse leverancier,ja
huizen.nl,SPF include,spf.pinkprivate.cloud,Pink Private Cloud,cloud/hosting,Nederlandse of Europese cloudindicatie,ja
huizen.nl,SPF include,spf.protection.outlook.com,Microsoft 365 / Exchange Online,mail/cloud,VS leverancier met mogelijke EU-regio,ja
huizen.nl,SPF include,spf.simgroephosting.nl,SIMgroep,gemeentelijke webhosting,Nederlandse leverancier,ja
huizen.nl,SPF include,spf.topdesk.net,TOPdesk,servicedesk/SaaS,Nederlandse leverancier,ja
huizen.nl,SPF ip4,185.42.57.140,Onbekend,onbekend,Onbekend,ja
huizen.nl,SPF ip4,193.173.63.210/28,Onbekend,onbekend,Onbekend,ja
huizen.nl,SPF ip4,194.13.163.7,Onbekend,onbekend,Onbekend,ja
huizen.nl,SPF ip4,194.53.14.66,Onbekend,onbekend,Onbekend,ja
huizen.nl,SPF ip4,195.72.120.109,Onbekend,onbekend,Onbekend,ja
huizen.nl,SPF ip4,195.72.120.110,Onbekend,onbekend,Onbekend,ja
huizen.nl,SPF ip4,195.72.120.192,Onbekend,onbekend,Onbekend,ja
huizen.nl,SPF ip4,20.229.91.213,Onbekend,onbekend,Onbekend,ja
huizen.nl,SPF ip4,213.125.7.98/29,Onbekend,onbekend,Onbekend,ja
huizen.nl,SPF ip4,45.80.232.21,Onbekend,onbekend,Onbekend,ja
huizen.nl,SPF ip6,2001:678:56c:1:195:72:120:192,Onbekend,onbekend,Onbekend,ja
huizen.nl,External script,cuatro.sim-cdn.nl,SIMgroep CDN,cdn/webhosting,Nederlandse leverancier,ja
huizen.nl,External script,fonts.bunny.net,Onbekend,onbekend,Onbekend,ja
huizen.nl,External script,huizen.logging.simanalytics.nl,Onbekend,onbekend,Onbekend,ja
huizen.nl,Tracker hint,leaflet,Onbekend,onbekend,Onbekend,ja
huizen.nl,Tracker hint,matomo,Onbekend,onbekend,Onbekend,ja
huizen.nl,Tracker hint,piwik,Onbekend,onbekend,Onbekend,ja
huizen.nl,Tracker hint,readspeaker,Onbekend,onbekend,Onbekend,ja
huizen.nl,Tracker hint,simanalytics,Onbekend,onbekend,Onbekend,ja
